分数,本段人数,累计人数
658-750,109,109
657,16,125
656,15,140
655,16,156
654,12,168
653,26,194
652,20,214
651,22,236
650,14,250
649,25,275
648,24,299
647,37,336
646,45,381
645,37,418
644,32,450
643,47,497
642,43,540
641,47,587
640,39,626
639,46,672
638,54,726
637,49,775
636,53,828
635,61,889
634,69,958
633,74,1032
632,79,1111
631,60,1171
630,79,1250
629,87,1337
628,79,1416
627,73,1489
626,110,1599
625,94,1693
624,102,1795
623,133,1928
622,102,2030
621,100,2130
620,123,2253
619,130,2383
618,127,2510
617,134,2644
616,140,2784
615,160,2944
614,148,3092
613,169,3261
612,170,3431
611,174,3605
610,136,3741
609,180,3921
608,183,4104
607,165,4269
606,193,4462
605,196,4658
604,231,4889
603,212,5101
602,199,5300
601,258,5558
600,238,5796
599,235,6031
598,245,6276
597,250,6526
596,239,6765
595,258,7023
594,264,7287
593,264,7551
592,267,7818
591,288,8106
590,293,8399
589,308,8707
588,269,8976
587,353,9329
586,299,9628
585,314,9942
584,303,10245
583,293,10538
582,318,10856
581,316,11172
580,343,11515
579,365,11880
578,364,12244
577,384,12628
576,349,12977
575,362,13339
574,370,13709
573,408,14117
572,366,14483
571,367,14850
570,396,15246
569,367,15613
568,362,15975
567,371,16346
566,395,16741
565,399,17140
564,434,17574
563,431,18005
562,391,18396
561,417,18813
560,411,19224
559,422,19646
558,429,20075
557,418,20493
556,447,20940
555,465,21405
554,456,21861
553,466,22327
552,474,22801
551,446,23247
550,472,23719
549,456,24175
548,474,24649
547,466,25115
546,467,25582
545,465,26047
544,493,26540
543,442,26982
542,448,27430
541,474,27904
540,504,28408
539,480,28888
538,463,29351
537,488,29839
536,462,30301
535,431,30732
534,468,31200
533,464,31664
532,457,32121
531,476,32597
530,486,33083
529,471,33554
528,525,34079
527,470,34549
526,506,35055
525,501,35556
524,493,36049
523,489,36538
522,490,37028
521,501,37529
520,478,38007
519,481,38488
518,472,38960
517,468,39428
516,481,39909
515,514,40423
514,474,40897
513,490,41387
512,475,41862
511,473,42335
510,454,42789
509,486,43275
508,455,43730
507,503,44233
506,479,44712
505,545,45257
504,477,45734
503,495,46229
502,449,46678
501,478,47156
500,483,47639
499,478,48117
498,513,48630
497,490,49120
496,457,49577
495,488,50065
494,471,50536
493,462,50998
492,497,51495
491,510,52005
490,530,52535
489,468,53003
488,479,53482
487,438,53920
486,487,54407
485,521,54928
484,474,55402
483,513,55915
482,483,56398
481,308,56706
480,314,57020
479,302,57322
478,300,57622
477,308,57930
476,311,58241
475,300,58541
474,307,58848
473,321,59169
472,301,59470
471,276,59746
470,285,60031
469,310,60341
468,281,60622
467,296,60918
466,242,61160
465,245,61405
464,294,61699
463,273,61972
462,278,62250
461,232,62482
460,229,62711
459,267,62978
458,242,63220
457,254,63474
456,273,63747
455,237,63984
454,237,64221
453,221,64442
452,239,64681
451,227,64908
450,250,65158
449,265,65423
448,240,65663
447,211,65874
446,219,66093
445,195,66288
444,214,66502
443,196,66698
442,218,66916
441,215,67131
440,233,67364
439,222,67586
438,199,67785
437,210,67995
436,212,68207
435,229,68436
434,222,68658
433,202,68860
432,201,69061
431,208,69269
430,214,69483
429,225,69708
428,214,69922
427,203,70125
426,197,70322
425,228,70550
424,192,70742
423,207,70949
422,220,71169
421,212,71381
420,225,71606
419,220,71826
418,220,72046
417,230,72276
416,195,72471
415,236,72707
414,197,72904
413,206,73110
412,221,73331
411,201,73532
410,189,73721
409,237,73958
408,209,74167
407,232,74399
406,209,74608
405,227,74835
404,227,75062
403,253,75315
402,237,75552
401,211,75763
400,236,75999
399,201,76200
398,221,76421
397,245,76666
396,246,76912
395,235,77147
394,203,77350
393,241,77591
392,212,77803
391,215,78018
390,238,78256
389,228,78484
388,232,78716
387,224,78940
386,233,79173
385,220,79393
384,238,79631
383,218,79849
382,201,80050
381,213,80263
380,212,80475
379,249,80724
378,217,80941
377,217,81158
376,196,81354
375,192,81546
374,231,81777
373,223,82000
372,193,82193
371,199,82392
370,193,82585
369,210,82795
368,197,82992
367,186,83178
366,192,83370
365,197,83567
364,184,83751
363,173,83924
362,173,84097
361,207,84304
360,215,84519
359,208,84727
358,206,84933
357,194,85127
356,220,85347
355,200,85547
354,214,85761
353,165,85926
352,164,86090
351,181,86271
350,157,86428
349,164,86592
348,161,86753
347,158,86911
346,150,87061
345,171,87232
344,164,87396
343,146,87542
342,145,87687
341,134,87821
340,155,87976
339,134,88110
338,131,88241
337,138,88379
336,125,88504
335,114,88618
334,135,88753
333,157,88910
332,125,89035
331,127,89162
330,124,89286
329,124,89410
328,116,89526
327,126,89652
326,110,89762
325,109,89871
324,126,89997
323,122,90119
322,124,90243
321,129,90372
320,122,90494
319,93,90587
318,112,90699
317,111,90810
316,136,90946
315,106,91052
314,116,91168
313,114,91282
312,124,91406
311,112,91518
310,104,91622
309,114,91736
308,93,91829
307,88,91917
306,90,92007
305,92,92099
304,99,92198
303,77,92275
302,87,92362
301,106,92468
300,93,92561
299,106,92667
298,90,92757
297,112,92869
296,96,92965
295,82,93047
294,83,93130
293,84,93214
292,94,93308
291,90,93398
290,96,93494
289,82,93576
288,98,93674
287,82,93756
286,80,93836
285,70,93906
284,86,93992
283,80,94072
282,78,94150
281,70,94220
280,78,94298
279,87,94385
278,66,94451
277,77,94528
276,92,94620
275,70,94690
274,72,94762
273,68,94830
272,68,94898
271,63,94961
270,57,95018
269,56,95074
268,60,95134
267,74,95208
266,55,95263
265,54,95317
264,70,95387
263,60,95447
262,60,95507
261,60,95567
260,43,95610
259,56,95666
258,53,95719
257,52,95771
256,43,95814
255,60,95874
254,50,95924
253,56,95980
252,46,96026
251,56,96082
250,57,96139
249,42,96181
248,43,96224
247,32,96256
246,46,96302
245,36,96338
244,44,96382
243,36,96418
242,46,96464
241,44,96508
240,34,96542
239,31,96573
238,36,96609
237,37,96646
236,30,96676
235,25,96701
234,27,96728
233,31,96759
232,36,96795
231,33,96828
230,20,96848
229,28,96876
228,25,96901
227,25,96926
226,25,96951
225,26,96977
224,24,97001
223,20,97021
222,23,97044
221,26,97070
220,18,97088
